date,best apps apps,best apps services,productivity apps tools,productivity apps software,productivity apps services,mobile games apps
2023-12-31,90,0,0,0,0,0
2024-01-07,57,0,0,0,0,0
2024-01-14,62,0,0,0,0,0
2024-01-21,58,0,0,0,0,0
2024-01-28,78,0,0,0,0,0
2024-02-04,82,0,0,0,0,0
2024-02-11,49,0,0,0,0,0
2024-02-18,59,0,0,0,0,0
2024-02-25,64,0,0,0,0,0
2024-03-03,58,0,0,0,0,0
2024-03-10,66,0,0,0,0,0
2024-03-17,58,0,0,0,0,0
2024-03-24,84,0,0,0,0,0
2024-03-31,73,0,0,0,0,0
2024-04-07,65,0,0,0,0,0
2024-04-14,41,0,0,0,0,0
2024-04-21,60,0,0,0,0,0
2024-04-28,69,0,0,0,0,0
2024-05-05,66,0,0,0,0,0
2024-05-12,84,0,0,0,0,0
2024-05-19,83,0,0,0,0,0
2024-05-26,79,0,0,0,0,0
2024-06-02,68,0,0,0,0,0
2024-06-09,75,0,0,0,0,0
2024-06-16,65,0,0,0,0,0
2024-06-23,72,97,0,0,0,0
2024-06-30,86,0,0,0,0,0
2024-07-07,100,0,0,0,0,0
2024-07-14,74,0,0,0,0,100
2024-07-21,63,100,0,0,0,0
2024-07-28,81,0,0,0,0,0
2024-08-04,77,0,0,0,0,0
2024-08-11,96,0,0,0,0,0
2024-08-18,95,0,0,0,0,0
2024-08-25,86,0,0,0,0,0
2024-09-01,76,0,0,0,0,0
2024-09-08,80,0,0,0,0,0
2024-09-15,75,0,0,0,0,0
2024-09-22,78,0,0,0,0,0
2024-09-29,80,0,0,0,100,0
2024-10-06,56,0,0,100,0,0
2024-10-13,75,0,0,0,0,0
2024-10-20,74,0,0,0,0,0
2024-10-27,91,0,0,0,0,0
2024-11-03,67,0,0,0,0,0
2024-11-10,98,0,100,0,0,0
2024-11-17,73,0,0,0,0,0
2024-11-24,53,0,0,0,0,0
2024-12-01,73,0,0,0,0,0
2024-12-08,63,0,0,0,0,0
2024-12-15,72,0,0,0,0,0
2024-12-22,92,0,0,0,0,0
2024-12-29,93,0,0,0,0,0
