date,SaaS tools platforms,business software software,business software platforms,cloud apps apps,cloud apps services
2023-12-31,100,54,0,0,0
2024-01-07,0,90,0,0,0
2024-01-14,0,50,0,0,0
2024-01-21,0,76,0,0,0
2024-01-28,0,84,0,0,0
2024-02-04,0,83,0,0,0
2024-02-11,0,84,0,0,0
2024-02-18,0,92,0,0,0
2024-02-25,0,64,0,0,0
2024-03-03,0,73,0,0,0
2024-03-10,0,55,0,0,0
2024-03-17,0,55,0,0,0
2024-03-24,0,65,0,0,0
2024-03-31,0,77,0,0,0
2024-04-07,0,70,0,0,0
2024-04-14,0,80,0,0,0
2024-04-21,0,86,0,0,0
2024-04-28,0,94,0,0,0
2024-05-05,0,58,0,0,0
2024-05-12,0,45,0,0,0
2024-05-19,0,85,0,0,0
2024-05-26,0,74,0,0,0
2024-06-02,0,59,0,0,0
2024-06-09,0,0,0,0,0
2024-06-16,0,88,0,0,0
2024-06-23,0,41,0,0,100
2024-06-30,0,60,0,0,0
2024-07-07,0,60,0,0,0
2024-07-14,0,64,0,0,0
2024-07-21,0,63,0,0,0
2024-07-28,0,57,0,0,0
2024-08-04,0,65,0,0,0
2024-08-11,0,58,0,0,0
2024-08-18,0,44,0,0,0
2024-08-25,0,51,0,0,0
2024-09-01,0,61,0,0,0
2024-09-08,0,73,0,0,0
2024-09-15,0,94,0,0,0
2024-09-22,0,97,0,0,0
2024-09-29,0,100,0,0,0
2024-10-06,0,82,0,0,0
2024-10-13,0,66,0,0,0
2024-10-20,0,71,0,0,0
2024-10-27,0,78,0,0,0
2024-11-03,0,80,0,0,0
2024-11-10,0,72,0,0,0
2024-11-17,0,67,0,0,0
2024-11-24,0,85,0,0,0
2024-12-01,0,84,0,0,0
2024-12-08,0,89,0,0,0
2024-12-15,0,29,100,87,0
2024-12-22,0,54,0,100,0
2024-12-29,0,45,0,41,0
